coluna_a_nome_tabela_dre,coluna_b_contas_cosif
Resultado com Perda Esperada de Operações de Crédito (f3),[7199216007]+ [8199216006]
Resultado com Perda Esperada de Arrendamento (f4),[7199217006]+ [8199217005]
Resultado com Perda Esperada de Outras Operações com Características de Concessão de Crédito (f5),[7199218005]+ [8199218004]
Resultado com Perda Esperada de Outros Ativos Geradores de Renda (f6),[7199214906]+ [7199219901]+ [8199214905]+ [8199219900]
Resultado com Perda Esperada (f),Somatório do Resultado com Perdas Esperadas de Aplicações Interfinanceiras de Liquidez TVM Operações de Crédito e Outros Ativos Geradores de Renda
Despesa de Juros com Captações (g1),[8110000002]+ [8120000009]- [8115020001]- [8118500009]- [8119110003]- [8119120000]- [8119130007]
Ajuste de Variação Cambial de Captações (g2),[7199141000]+ [7199142009]+ [7199143905]+ [7199144007]+ [8199141009]+ [8199142008]+ [8199143904]+ [8199145005]
Ajuste de Hedge de Valor Justo de Captações (g3),[7199441009]+ [7199442101]+ [7199443904]+ [7199444006]+ [8199441008]+ [8199442007]+ [8199443903]+ [8199444005]
Outros Resultados de Captações (g4),[8118500009]+ [8191200003]+ [8198600008]
Despesas de Captações (g),Somatório de Despesa de Juros Ajuste de Variação Cambial Ajuste a Valor Justo Ajuste de Hedge de Valor Justo e Outros Resultados de Captações
Despesas de Instrumentos de Dívida Elegíveis a Capital (h),[7199143101]+ [7199143204]+ [7199143307]+ [7199443100]+ [7199443203]+ [7199443306]+ [8119110003]+ [8119120000]+ [8119130007]+ [8199143100]+ [8199143203]+ [8199143306]+ [8199443109]+ [8199443202]+[8199443305]
Resultado com Derivativos (i),[7158000003]+ [8155000005]
Outros Resultados de Intermediação Financeira (j),[7144000000]+ [7191000008]+ [7191540001]+ [7191700009]+ [7192012002]+ [7192014000]+ [7192019005]+ [7192500002]+ [7199111009]+ [7199119001]+ [7199149002]+ [7199319007]+ [7199388007]+ [7199399003]+ [7199419000]+ [7199449001]+ [8191540000]+ [8199111008]+ [8199119000]+ [8199149001]+ [8199319006]+ [8199349007]+ [8199388006]+ [8199419009]+ [8199449000]
